NÚM.,TOM,MOST.,NOM CIENTÍFIC A HCBPFQ,FAMÍLIA HCBPFQ,NOM CIENTÍFIC A FMPC 2005,FAMÍLIA FMPC 2005,Nom vulgar,Enllaç al Medi Natural del Bages,Comentaris,Amaga
183,3,2,Viola hirta (1),Violáceas,Viola hirta (1),Violàcies,Violeta pilosa (1),https://elmedinaturaldelbages.cat/species/violeta-pilosa-viola-hirta/,,
,3,2,Viola hirta (2),Violáceas,Viola hirta (2),Violàcies,Violeta pilosa (2),https://elmedinaturaldelbages.cat/species/violeta-pilosa-viola-hirta/,,
184,3,1,Viola odorata,Violáceas,Viola odorata,Violàcies,Viola d'olor,,,
181,3,1,Viola arenaria,Violáceas,Viola rupestris,Violàcies,Viola rupestre,https://elmedinaturaldelbages.cat/species/viola-rupestre-viola-rupestris/,,
185,3,1,Viola Riviniana,Violáceas,Viola sylvestris subsp. riviniana,Violàcies,Violeta silvestre,https://elmedinaturaldelbages.cat/species/viola-silvestre-viola-sylvestris/,,
186,3,1,Viola tricolor,Violáceas,Viola tricolor,Violàcies,Pensament de camp,https://elmedinaturaldelbages.cat/species/pensament-de-camp-viola-tricolor-ssp-arvensis/,,
583,9,1,Xeranthemum inapertum ,Compuestas,Xeranthemum inapertum ,Compostes,Flor immortal,https://elmedinaturaldelbages.cat/species/flor-immortal-xeranthemum-inapertum/,,
91,2,1,Zizyphus vulgaris,Ramnáceas,Ziziphus jujuba,Ramnàcies,Ginjoler,https://elmedinaturaldelbages.cat/species/ginjoler-ziziphus-jujuba/,,
68,2,1,Aceras? sp.,Orquidáceas,,Orquidàcies,,,,TRUE
591,10,1,Orobanche sp.,Orobancáceas,,Orobancàcies,,,,TRUE
329,5,1,Silene? sp.,Cariofiláceas,,Cariofil·làcies,,,,TRUE
,,,,,,,,,,
"* NÚM. significa ""número de l'espècie"". MOST. significa ""nombre de mostres"". HCBPFQ significa ""herbari de la comarca de Bages de Pius Font i Quer"". FMPC 2005 significa ""edició de l'any 2005 de la Flora Manual dels Països Catalans"". ",,,,,,,,,,
* L'ordre de les famílies és el que hi ha als lloms dels arxivadors que contenen l'herbari. ,,,,,,,,,,
"* En total hi ha 618 espècies repartides en 345 gèneres els quals estan repartits en 82 famílies. De les 618 espècies, 613 tenen nom genèric i nom específic, 3 només tenen nom genèric i 2 no tenen nom genèric ni nom específic. ",,,,,,,,,,
"* En total hi ha 628 mostres de plantes. 609 espècies tenen cadascuna una sola mostra, 8 espècies tenen dues mostres cadascuna i 1 espècie té tres mostres.",,,,,,,,,,
* Les mostres corresponents a les espècies Camelina silvestris (núm. 127) i Neslia paniculata (num. 148) tenen l'etiqueta incompleta. Els seus noms científics són els que figuren al llibre de Pius Font i Quer Ensayo fitotopográfico de Bages.,,,,,,,,,,
* La mostra amb el nom científic Linum salsoloides (núm. 308) segurament correspon a Linum tenuifolium subsp. milletii. La mostra amb el nom científic Rubus thyrsoideus (núm 371) segurament correspon a Rubus ulmifolius. La mostra amb el nom científic Statice salsuginosa (núm 616) segurament correspon a Limonium hibericum.,,,,,,,,,,
